date,agency,sku,volume,industry_volume,soda_volume,avg_max_temp,price_regular,price_actual,discount,avg_population_2017,avg_yearly_household_income_2017,easter_day,good_friday,new_year,christmas,labor_day,independence_day,revolution_day_memorial,regional_games,beer_capital,music_fest,discount_in_percent,year,month,quarter,volume_lag_1,volume_lag_2,volume_lag_3,volume_lag_6,volume_lag_12,volume_rolling_mean_3,volume_rolling_mean_6,volume_rolling_mean_12
2014-01-01,Agency_01,SKU_01,100.548,481364863,763723622,19.09230769,1235.1875,995.0062437,240.1812563,153733,120207,0,0,1,0,0,0,0,0,0,0,19.444922839649852,2014,1,1,104.544,95.364,149.364,149.796,80.676,116.42399999999999,134.658,135.342
2014-02-01,Agency_01,SKU_01,123.552,425528909,734443953,23.31923077,1235.1875,1111.858392,123.329108,153733,120207,0,0,0,0,0,0,0,0,0,0,9.984646703435711,2014,2,1,100.548,104.544,95.364,161.136,98.064,100.152,126.45,136.99800000000002
2014-03-01,Agency_01,SKU_01,125.172,557166363,828278650,23.15,1235.1875,1108.242181,126.945319,153733,120207,0,0,0,0,0,0,0,0,0,1,10.277412862419672,2014,3,1,123.552,100.548,104.544,147.744,133.704,109.548,120.18600000000002,139.12199999999999
2014-04-01,Agency_01,SKU_01,70.524,514349463,873734739,26.56923077,1235.1875,1109.019047,126.168453,153733,120207,1,1,0,0,0,0,0,0,0,0,10.214518281637403,2014,4,2,125.172,123.552,100.548,149.364,147.312,116.42400000000002,116.42400000000002,138.411
2014-05-01,Agency_01,SKU_01,21.924,574689995,887472626,29.43076923,1264.2725,1257.19,7.0825,153733,120207,0,0,0,0,1,0,0,0,0,0,0.5602035953483129,2014,5,2,70.524,125.172,123.552,95.364,175.608,106.41600000000001,103.28399999999999,132.012
2014-06-01,Agency_01,SKU_01,66.744,553838801,865152191,33.39230769,1272.981618,1265.540441,7.441177000000001,153733,120207,0,0,0,0,0,0,0,0,0,0,0.5845470896658305,2014,6,2,21.924,70.524,125.172,104.544,180.792,72.54,91.044,119.205
2014-07-01,Agency_01,SKU_01,89.1,550644737,837253085,30.03076923,1275.48136,1271.486842,3.994518,153733,120207,0,0,0,0,0,0,0,0,0,0,0.3131772933161485,2014,7,3,66.744,21.924,70.524,100.548,149.796,53.064,84.744,109.70100000000001
2014-08-01,Agency_01,SKU_01,107.352,522726357,867388593,29.7375,1285.586058,1239.516347,46.069711,153733,120207,0,0,0,0,0,0,0,0,0,0,3.5835571421543837,2014,8,3,89.1,66.744,21.924,123.552,161.136,59.256,82.836,104.64300000000001
2014-09-01,Agency_01,SKU_01,100.872,413051813,767383003,28.21666667,1303.6363310000002,1198.774971,104.86136,153733,120207,0,0,0,0,0,1,0,0,0,0,8.043758639310274,2014,9,3,107.352,89.1,66.744,125.172,147.744,87.73200000000001,80.136,100.161
2014-10-01,Agency_01,SKU_01,113.292,438831227,790867324,28.08846154,1302.55649,1248.267052,54.289438,153733,120207,0,0,0,0,0,0,0,0,1,0,4.167914283702199,2014,10,4,100.872,107.352,89.1,70.524,149.364,99.108,76.086,96.255
